0,1
3,35
5,34
6,28
11,43
11,49
14,41
16,31
19,100
22,5
23,10
24,11
26,21
27,5
28,12
29,6
31,7
35,8
43,10
47,12
48,19
49,2
55,4
58,30
61,29
63,14
66,7
67,4
68,41
70,3
71,5
74,153
77,36
79,12
82,8
83,47
85,11
88,5
89,9
104,36
105,46
106,18
107,12
112,15
114,2
116,5
117,50
118,8
120,6
121,18
127,75
130,19
131,15
133,7
134,5
139,30
142,5
144,6
147,19
149,2
150,17
156,7
161,36
162,16
164,4
165,2
170,42
175,13
184,18
191,32
191,50
192,26
192,41
193,17
193,22
194,3
195,13
200,70
203,22
206,19
209,7
211,14
212,23
221,26
223,32
226,10
227,25
229,6
231,8
232,15
236,0
238,4
241,48
243,25
243,32
250,9
252,9
253,17
259,2
262,9
263,27
267,18
268,41
274,4
275,5
284,15
286,23
287,2
292,13
295,6
297,27
298,12
304,32
308,18
311,5
313,4
315,12
316,26
319,5
320,9
322,41
323,30
331,27
332,28
334,34
335,47
337,11
339,9
342,3
